X,Y,Z
16.461420,1.391338,0.461085
16.440350,1.209108,0.274465
16.592640,1.332601,0.489894
15.415810,11.913200,-1.827418
15.071040,11.971680,-1.848881
15.365270,11.618500,-1.819036
15.808400,11.670390,-1.865968
15.652370,11.736080,-1.890997
15.763470,11.470480,-1.805944
15.998390,11.538830,-1.874256
15.580620,11.584300,-1.837887
15.056780,12.158860,-1.886099
14.694590,12.315630,-1.871504
14.911880,12.022740,-1.800970
15.364190,12.142440,-1.868813
14.953950,12.398660,-1.896851
16.542471,1.141807,0.401013
12.785980,12.743640,-1.782414
12.846660,12.910900,-1.799232
12.614500,12.826280,-1.755456
17.094009,10.507320,-1.754987
17.268660,10.445840,-1.743750
17.262360,10.732920,-1.798930
15.497690,11.142080,-1.760347
15.713020,11.067040,-1.737103
15.946380,11.155210,-1.784867
15.572150,11.406180,-1.830769
15.158060,11.574250,-1.772672
15.281910,11.404590,-1.787059
14.800760,11.701080,-1.780434
14.571530,11.670610,-1.760654
14.590060,11.504170,-1.737448
14.558630,11.918890,-1.795436
14.761910,11.953360,-1.818059
14.951200,11.792550,-1.781326
15.901920,11.369430,-1.820314
16.069530,10.894710,-1.739809
16.297131,11.114630,-1.766421
16.414961,11.173530,-1.754885
16.480989,11.283430,-1.813286
16.582850,10.991630,-1.723432
16.976139,1.101134,0.408904
16.756910,1.004730,0.389988
16.906469,0.927634,0.349749
17.068270,10.819610,-1.789920
16.763590,10.978640,-1.770562
16.827259,10.665320,-1.756445
17.014730,10.655390,-1.786436
17.070490,11.106060,-1.843825
17.343550,10.973200,-1.792946
16.692890,11.176090,-1.820253
16.765249,11.334110,-1.817122
17.168261,11.222790,-1.767607
16.990860,11.390830,-1.830020
17.319189,11.263430,-1.782450
12.599400,12.405100,-1.747500
12.617470,12.242790,-1.765445
12.886350,12.464250,-1.785108
13.038670,12.729960,-1.821416
13.428030,12.537420,-1.789644
13.067440,12.301600,-1.748173
13.302820,12.142160,-1.741009
13.633050,12.371750,-1.800975
13.663060,12.118360,-1.737820
14.506090,12.043270,-1.733285
14.434480,11.826120,-1.735994
14.673730,12.123090,-1.808359
17.342560,10.650350,-1.769359
17.489759,10.581560,-1.809043
17.871651,10.570060,-1.759929
17.837900,10.805070,-1.818714
18.165661,10.590690,-1.730150
18.029900,10.495880,-1.793435
18.400650,10.101680,-1.729243
18.491610,10.587620,-1.810664
18.153509,10.374000,-1.749725
18.330919,10.640280,-1.806900
18.715839,10.197480,-1.767187
18.880400,10.311860,-1.780917
18.759159,10.460850,-1.785633
18.748671,10.666280,-1.814457
19.078260,10.401650,-1.760953
17.479099,10.975590,-1.810450
17.565121,10.786400,-1.794802
17.887239,10.962930,-1.838376
17.698669,10.968770,-1.758859
